sentence,np,vp,ner_rich
"McKinsey & Company report  July 2017
","['McKinsey', 'Company report July']
","[] 
",0
"8.
","[]
","[] 
",0
"Svetlana Sicular, Kenneth Brant 2018, Hype Cycle for  ArtificialIntelligence, 2018 Gartner report July 2018.
","['Svetlana Sicular', 'Kenneth Brant', 'Hype Cycle ArtificialIntelligence', 'Gartner report July']
","[] 
",0
"9.
","[]
","[] 
",0
"McCallum, Andrew Kachites.
","['McCallum', 'Andrew Kachites']
","[] 
",0
"""MALLET: A Machine  Learning for Language Toolkit.""
","['MALLET', 'A Machine Learning Language Toolkit']
","[] 
",0
"http://mallet.cs.umass.edu.
","['http', '//mallet.cs.umass.edu']
","[] 
",0
"2002.
","[]
","[] 
",0
"10.
","[]
","[] 
",0
"Quarteroni, Silvia.
","['Quarteroni', 'Silvia']
","[] 
",0
"(2018).
","[]
","[] 
",0
"Natural Language Processing for  Industry: ELCA’s experience.
","['Natural Language Processing Industry', 'ELCA ’ experience']
","[] 
",0
"Informatik-Spektrum.
","['Informatik-Spektrum']
","[] 
",0
"41.
","[]
","[] 
",0
"10.1007/s00287-018-1094-1.
","[]
","[] 
",0
"11.
","[]
","[] 
",0
"Young, Tom &Hazarika, Devamanyu&Poria, Soujanya&  Cambria, Erik.
","['Young', 'Tom', 'Hazarika', 'Devamanyu', 'Poria', 'Soujanya', 'Cambria', 'Erik']
","[] 
",0
"(2018).
","[]
","[] 
",0
"Recent Trends in Deep Learning  Based Natural Language Processing [Review Article].
","['Recent Trends Deep Learning', 'Natural Language Processing [ Review Article ]']
","['Based'] 
",0
"IEEE
","['IEEE']
","[] 
",0
"Computational Intelligence Magazine.
","['Computational Intelligence Magazine']
","[] 
",0
"13.
","[]
","[] 
",0
"55-75.
","[]
","[] 
",0
"10.1109/MCI.2018.2840738.
","[]
","[] 
",0
"12.
","[]
","[] 
",0
"Amirhosseini, Mohammad Hossein, Kazemian, Hassan,
","['Amirhosseini', 'Mohammad Hossein', 'Kazemian', 'Hassan']
","[] 
",0
"Ouazzane, Karim and Chandler, Chris (2018) Natural
","['Ouazzane', 'Karim Chandler', 'Chris', 'Natural']
","[] 
",0
"language processing approach to NLP meta model  automation.
","['language processing approach NLP meta model automation']
","[] 
",0
"In: International Joint Conference on Neural
","['International Joint Conference Neural']
","[] 
",0
"Networks (IJCNN), 8-13 July 2018, Rio de Janeiro, Brazil.
","['Networks', 'IJCNN', '8-13 July', 'Rio', 'Janeiro', 'Brazil']
","[] 
",0
"Machine Learning Algorithms: A Review  Ayon Dey
","['Machine', 'Algorithms', 'A Review Ayon Dey']
","['Learning'] 
",0
"Department of CSE, Gautam Buddha University,
","['Department CSE', 'Gautam Buddha University']
","[] 
",0
"Greater Noida, Uttar Pradesh, India
","['Greater Noida', 'Uttar Pradesh', 'India']
","[] 
",0
"Abstract – In this paper, various machine learning algorithms have been discussed.
","['Abstract –', 'paper', 'various machine', 'algorithms']
","['learning', 'discussed'] 
",1
"These algorithms are used for various  purposes like data mining, image processing, predictive  analytics, etc.
","['These algorithms', 'various purposes', 'data mining', 'image processing', 'predictive analytics']
","['used'] 
",0
"to name a few.
","['name']
","[] 
",0
"The main advantage of using  machine learning is that, once an algorithm learns what to do  with data, it can do its work automatically.
","['The main advantage', 'machine learning', 'algorithm learns data', 'work']
","['using'] 
",0
"Keywords – Machine learning, algorithms, pseudo code
","['Keywords', 'Machine learning', 'algorithms', 'pseudo code']
","['–'] 
",0
"I.
","[]
","[] 
",0
"INTRODUCTION
","['INTRODUCTION']
","[] 
",0
"Machine learning is used to teach machines how to  handle the data more efficiently.
","['Machine learning', 'teach machines', 'data']
","['used', 'handle'] 
",1
"Sometimes after viewing  the data, we cannot interpret the pattern or extract  information from the data.
","['data', 'interpret pattern', 'extract information data']
","['Sometimes viewing'] 
",0
"In that case, we apply machine  learning [1].
","['case', 'machine', ']']
","['apply', 'learning'] 
",1
"With the abundance of datasets available, the  demand for machine learning is in rise.
","['abundance datasets', 'demand machine', 'rise']
","['learning'] 
",0
"Many industries  from medicine to military apply machine learning to extract  relevant information.
","['Many industries', 'military apply machine', 'extract relevant information']
","['medicine', 'learning'] 
",1
"The purpose of machine learning is to learn from the  data.
","['The purpose machine', 'learn data']
","['learning'] 
",0
"Many studies have been done on how to make  machines learn by themselves [2] [3].
","['Many studies', 'machines', ']']
","['done make', 'learn'] 
",1
"Many  mathematicians and programmers apply several approaches  to find the solution of this problem.
","['Many mathematicians programmers', 'several approaches', 'solution problem']
","['apply', 'find'] 
",1
"Some of them are  demonstrated in Fig.
","['Fig']
","['demonstrated'] 
",0
"1.
","[]
","[] 
",0
"All the techniques of machine learning are explained in  Section 2.
","['All techniques machine learning', 'Section']
","['explained'] 
",0
"Section 3 concludes this paper.
","['Section', 'concludes paper']
","[] 
",0
"II.
","['II']
","[] 
",0
"TYPES OF LEARNING
","['TYPES OF LEARNING']
","[] 
",0
"A.
","[]
","[] 
",0
"Supervised Learning
","[]
","['Supervised Learning'] 
",0
"The supervised machine learning algorithms are those  algorithms which needs external assistance.
","['The supervised machine', 'algorithms algorithms', 'external assistance']
","['learning', 'needs'] 
",1
"The input  dataset is divided into train and test dataset.
","['The input dataset', 'train test dataset']
","['divided'] 
",0
"The train  dataset has output variable which needs to be predicted or  classified.
","['The train dataset output', 'variable needs']
","['predicted classified'] 
",0
"All algorithms learn some kind of patterns from  the training dataset and apply them to the test dataset for  prediction or classification [4].
","['All algorithms', 'kind patterns', 'dataset', 'test dataset prediction classification', ']']
","['learn', 'training', '['] 
",1
"The workflow of supervised  machine learning algorithms is given in Fig.
","['The workflow', 'machine learning algorithms', 'Fig']
","['supervised', 'given'] 
",1
"2.
","[]
","[] 
",0
"Three most  famous supervised machine learning algorithms have been  discussed here.
","['machine', 'algorithms']
","['supervised', 'learning', 'discussed'] 
",1
"1) Decision Tree: Decision trees are those type of trees which groups attributes by sorting them based on their  values.
","['Decision Tree', 'Decision trees', 'trees groups', 'values']
","['type', 'attributes sorting based'] 
",1
"Decision tree is used mainly for classification  purpose.
","['Decision tree', 'classification purpose']
","['used'] 
",0
"Each tree consists of nodes and branches.
","['Each tree', 'nodes branches']
","['consists'] 
",0
"Each  nodes represents attributes in a group that is to be classified  and each branch represents a value that the node can take  [4].
","['attributes group', 'branch', 'value node', ']']
","['represents', 'classified', 'represents', 'take'] 
",1
"An example of decision tree is given in Fig.
","['An example decision', 'Fig']
","['tree given'] 
",0
"3.
","[]
","[] 
",0
"The pseudo code for Decision tree is described in Fig.
","['The pseudo code Decision tree', 'Fig']
","['described'] 
",0
"4;  where S, A and y are training set, input attribute and target  attribute respectively.
","['S', 'A training set', 'attribute target attribute']
","['input'] 
",0
"Fig.
","['Fig']
","[] 
",0
"1.
","[]
","[] 
",0
"Types of Learning [2] [3]
","['Types', ']', ']']
","['Learning', '['] 
",1
"Ayon Dey / (IJCSIT) International Journal of Computer Science and Information Technologies, Vol.
","['Ayon Dey /', 'IJCSIT', 'International Journal Computer Science Information Technologies', 'Vol']
","[] 
",0
"7 (3) , 2016, 1174-1179
","[]
","[] 
",0
"www.ijcsit.com 1174
","['www.ijcsit.com']
","[] 
",0
"Fig.
","['Fig']
","[] 
",0
"2.
","[]
","[] 
",0
"Workflow of supervised machine learning algorithm [4]
","['Workflow', 'machine', ']']
","['supervised', 'learning'] 
",1
"Fig.
","['Fig']
","[] 
",0
"3.
","[]
","[] 
",0
"Decision Tree [5]
","['Decision Tree', ']']
","['['] 
",0
"2) Naïve Bayes: Naïve Bayes mainly targets the text  classification industry.
","['Naïve Bayes', 'Naïve Bayes', 'text classification industry']
","['mainly targets'] 
",0
"It is mainly used for clustering and  classification purpose [6].
","['classification purpose', ']']
","['mainly used clustering'] 
",0
"The underlying architecture of  Naïve Bayes depends on the conditional probability.
","['The underlying architecture Naïve Bayes', 'conditional probability']
","['depends'] 
",0
"It  creates trees based on their probability of happening.
","['trees', 'probability']
","['creates', 'based', 'happening'] 
",1
"These  trees are also known as Bayesian Network.
","['These trees', 'Bayesian Network']
","['also known'] 
",0
"An example of  the network is given in Fig.
","['An example network', 'Fig']
","['given'] 
",0
"5.
","[]
","[] 
",0
"The pseudo code is given in  Fig.
","['The pseudo code', 'Fig']
","['given'] 
",0
"6.
","[]
","[] 
",0
"Fig.
","['Fig']
","[] 
",0
"5.
","[]
","[] 
",0
"An Example of Bayesian Network [7]
","['An Example Bayesian Network', ']']
","['['] 
",0
"Fig.
","['Fig']
","[] 
",0
"4.
","[]
","[] 
",0
"Pseudo code for Decision Tree [5]
","['Pseudo code Decision Tree', ']']
","['['] 
",0
"Fig.
","['Fig']
","[] 
",0
"6.
","[]
","[] 
",0
"Pseudo code for Naïve Bayes [6]
","['Pseudo code Naïve Bayes', ']']
","['['] 
",0
"3) Support Vector Machine: Another most widely used  state-of-the-art machine learning technique is Support  Vector Machine (SVM).
","['Support Vector Machine', 'state-of-the-art machine learning technique Support Vector Machine', 'SVM']
","['widely used'] 
",0
"It is mainly used for classification.
","['classification']
","['mainly used'] 
",0
"SVM works on the principle of margin calculation.
","['SVM', 'principle margin calculation']
","['works'] 
",0
"It  basically, draw margins between the classes.
","['margins classes']
","['draw'] 
",0
"The margins  are drawn in such a fashion that the distance between the
","['The margins', 'fashion distance']
","['drawn'] 
",0
"Ayon Dey / (IJCSIT) International Journal of Computer Science and Information Technologies, Vol.
","['Ayon Dey /', 'IJCSIT', 'International Journal Computer Science Information Technologies', 'Vol']
","[] 
",0
"7 (3) , 2016, 1174-1179
","[]
","[] 
",0
"www.ijcsit.com 1175
","['www.ijcsit.com']
","[] 
",0
"margin and the classes is maximum and hence, minimizing  the classification error.
","['margin classes', 'maximum hence', 'classification error']
","['minimizing'] 
",0
"An example of working and pseudo  code of SVM is given in Fig.
","['An example', 'pseudo code SVM', 'Fig']
","['working', 'given'] 
",1
"7 and Fig.
","['Fig']
","[] 
",0
"8, respectively.
","[]
","[] 
",0
"  Fig.
","['Fig']
","[] 
",0
"7.
","[]
","[] 
",0
"Working of Support Vector Machine [8]
","['Support Vector Machine [', ']']
","['Working'] 
",0
"  Fig.
","['Fig']
","[] 
",0
"8.
","[]
","[] 
",0
"Pseudo code for Support Vector machine [9]
","['Pseudo code Support Vector machine', ']']
","['['] 
",0
"B. Unsupervised Learning
","['B.']
","['Unsupervised Learning'] 
",0
"The unsupervised learning algorithms learns few features  from the data.
","['The unsupervised learning algorithms', 'features data']
","['learns'] 
",0
"When new data is introduced, it uses the  previously learned features to recognize the class of the  data.
","['new data', 'features', 'class data']
","['introduced', 'uses previously learned', 'recognize'] 
",1
"It is mainly used for clustering and feature reduction.
","['feature reduction']
","['mainly used clustering'] 
",0
"An example of workflow of unsupervised learning is given  in Fig.
","['An example workflow', 'Fig']
","['unsupervised learning given'] 
",0
"9.
","[]
","[] 
",0
"  Fig.
","['Fig']
","[] 
",0
"9.
","[]
","[] 
",0
"Example of Unsupervised Learning [10]
","['Example', 'Learning [', ']']
","['Unsupervised'] 
",0
"The two main algorithms for clustering and  dimensionality reduction techniques are discussed below.
","['main algorithms', 'dimensionality reduction techniques']
","['clustering', 'discussed'] 
",1
"1) K-Means Clustering: Clustering or grouping is a type  of unsupervised learning technique that when initiates,  creates groups automatically.
","['Clustering', 'type', 'unsupervised learning technique initiates', 'groups']
","['Clustering grouping', 'creates'] 
",1
